phrase;adjective;nonun;note_to_phrase;adjective_definition;noun_definition
distracting babble;distracting;babble;;;
distraught air;distraught;air;;;
distressing laxity;distressing;laxity;;;
disturbed equanimity;disturbed;equanimity;;;
diurnal rotation;diurnal;rotation;;;
divergent calculations;divergent;calculations;;;
diversified attributes;diversified;attributes;;;
diverting interests;diverting;interests;;;
divine potentialities;divine;potentialities;;;
dizzy precipice;dizzy;precipice;;;
documentary evidence;documentary;evidence;;;
dogged determination;dogged;determination;;;
doggerel expressions;doggerel;expressions;;crude, humorous verse;
dogmatic assurance;dogmatic;assurance;;;
doleful forebodings;doleful;forebodings;;;
domestic endearment;domestic;endearment;;;
dominating influence;dominating;influence;;;
domineering insolence;domineering;insolence;;;
dormant capacities;dormant;capacities;;;
doubly odious;doubly;odious;;;
doubtful authenticity;doubtful;authenticity;;;
downright nonsense;downright;nonsense;;;
downtrodden drudge;downtrodden;drudge;;;
drab apology;drab;apology;;;
dramatic liveliness;dramatic;liveliness;;;
drastic action;drastic;action;;;
dread presence;dread;presence;;;
dreaming adventurer;dreaming;adventurer;;;
dreamless rest;dreamless;rest;;;
dreary disrelish;dreary;disrelish;;;
droll incongruity;droll;incongruity;;;
droning world;droning;world;;;
drowsy tranquillity;drowsy;tranquillity;;;
dubious success;dubious;success;;;
ductile language;ductile;language;;;
dulcet tone;dulcet;tone;;;
dull aversion;dull;aversion;;;
dumb surprise;dumb;surprise;;;
dumbfounded amazement;dumbfounded;amazement;;;
durable impression;durable;impression;;;
dusky obscurity;dusky;obscurity;;;
dutiful compliance;dutiful;compliance;;;
dynamic energy;dynamic;energy;;;
dynastic insolence;dynastic;insolence;;;
eager animosity;eager;animosity;;;
early servitude;early;servitude;;;
earnestly espoused;earnestly;espoused;;;
earthly splendor;earthly;splendor;;;
easy garrulity;easy;garrulity;;;excessive talkativeness
eccentric casuists;eccentric;casuists;;casuistry = excessively subtle reasoning intended to mislead;
ecclesiastical rule;ecclesiastical;rule;;;
echoless silence;echoless;silence;;;
economic absurdity;economic;absurdity;;;
ecstatically happy;ecstatically;happy;;;
edifying exhortation;edifying;exhortation;;;
educational enterprise;educational;enterprise;;;
effective embellishment;effective;embellishment;;;
effectual stimulus;effectual;stimulus;;;
effeminate grace;effeminate;grace;;;
effervescent multitude;effervescent;multitude;;;
effete aristocracy;effete;aristocracy;;;
efficacious power;efficacious;power;;;
efficient education;efficient;education;;;
efflorescent style;efflorescent;style;;bursting into flower;
effulgent daybeams;effulgent;daybeams;;radiating light;
egoistic sentiment;egoistic;sentiment;;;
egregious mistake;egregious;mistake;;outrageously reprehensible;
ejaculatory prayer;ejaculatory;prayer;;;
elaborate composition;elaborate;composition;;;
elastic ductility;elastic;ductility;;;
electric effluvium;electric;effluvium;;;"invisible emanation; an aura"
elegant mediocrity;elegant;mediocrity;;;
elemental emotions;elemental;emotions;;;
elephantine footsteps;elephantine;footsteps;;;
elevated enjoyment;elevated;enjoyment;;;
elfish grace;elfish;grace;;;
eloquent refutation;eloquent;refutation;;;
elusive charm;elusive;charm;;;
emancipating labors;emancipating;labors;;;
embarrassing variety;embarrassing;variety;;;
embellished truths;embellished;truths;;;
embittered gaze;embittered;gaze;;;
emblazoned pinnacles;emblazoned;pinnacles;;;
embryo enterprise;embryo;enterprise;;;
emerald scintillations;emerald;scintillations;;;
eminent nonentity;eminent;nonentity;;;
emotional warmth;emotional;warmth;;;
emotive power;emotive;power;;;
emphatic earnestness;emphatic;earnestness;;;
empirical corroboration;empirical;corroboration;;;
empty phraseology;empty;phraseology;;;
emulative zeal;emulative;zeal;;;
enamored troubadour;enamored;troubadour;;;
enchanted garden;enchanted;garden;;;
encircling embrace;encircling;embrace;;;
endearing appellation;endearing;appellation;;;"name, title; act of naming"
endless dissertation;endless;dissertation;;;
enduring charm;enduring;charm;;;
energetic enthusiasm;energetic;enthusiasm;;;
enervating humility;enervating;humility;;weaken or destroy the strength;
enfeebled activity;enfeebled;activity;;;
enforced silence;enforced;silence;;;
engaging affability;engaging;affability;;;
engendered feelings;engendered;feelings;;;
engrossing purpose;engrossing;purpose;;;
engulfing waters;engulfing;waters;;;
enhanced reputation;enhanced;reputation;;;
enigmatical silence;enigmatical;silence;;;
enlightened solicitude;enlightened;solicitude;;;
enlivened monotony;enlivened;monotony;;;
ennobling personality;ennobling;personality;;;
enormously outbalanced;enormously;outbalanced;;;
enraptured attention;enraptured;attention;;;
enriched experience;enriched;experience;;;
entangled subject;entangled;subject;;;
enthralling charm;enthralling;charm;;;
enthusiastic adherents;enthusiastic;adherents;;;
enticing odors;enticing;odors;;;
entire domain;entire;domain;;;
entrancing sadness;entrancing;sadness;;;
enveloping presence;enveloping;presence;;;
envenomed attacks;envenomed;attacks;;;
enviable superiority;enviable;superiority;;;
environing conditions;environing;conditions;;;
ephemeral duration;ephemeral;duration;;markedly short-lived;
epicurean taste;epicurean;taste;;;
epigrammatic sallies;epigrammatic;sallies;;terse and witty;
equable composure;equable;composure;;;
equally efficacious;equally;efficacious;;;
equitably governed;equitably;governed;;;
equivocal compliment;equivocal;compliment;;;
erotic poem;erotic;poem;;;
errant thoughts;errant;thoughts;;;
erratic flight;erratic;flight;;;
erroneous assumption;erroneous;assumption;;;
erudite labors;erudite;labors;;having or showing profound knowledge;
eruptive violence;eruptive;violence;;;
esoteric doctrine;esoteric;doctrine;;;
especial pleasure;especial;pleasure;;;
essential prerequisite;essential;prerequisite;;;
estimable qualities;estimable;qualities;;;
eternal hostility;eternal;hostility;;;
ethereal azure;ethereal;azure;;;
ethical wisdom;ethical;wisdom;;;
euphuistic affectations;euphuistic;affectations;;affected elegance of language;
evanescent glances;evanescent;glances;;vanishing like vapor;
evangelic doctrine;evangelic;doctrine;;;
evasive answer;evasive;answer;;;
eventful circumstance;eventful;circumstance;;;
eventual failure;eventual;failure;;;
everlasting mysteries;everlasting;mysteries;;;
everyday reality;everyday;reality;;;
evident authority;evident;authority;;;
evil necromancy;evil;necromancy;;;"communicating with the dead to predict the future; black magic; sorcery"
eviscerating shrieks;eviscerating;shrieks;;;
exact antithesis;exact;antithesis;;;
exacting taskmaster;exacting;taskmaster;;;
exaggerated estimate;exaggerated;estimate;;;
exalted imagination;exalted;imagination;;;
exasperating coolness;exasperating;coolness;;;
exceedingly acceptable;exceedingly;acceptable;;;
excellent discernment;excellent;discernment;;;
exceptional magnitude;exceptional;magnitude;;;
excessive zeal;excessive;zeal;;;
excitable temperament;excitable;temperament;;;
exclusive pursuit;exclusive;pursuit;;;
excretory secretion;excretory;secretion;;;
excruciating accents;excruciating;accents;;;
excursive fancy;excursive;fancy;;;
execrable villainy;execrable;villainy;;"hateful; extremely inferior; very bad";
executive efficiency;executive;efficiency;;;
exemplary conduct;exemplary;conduct;;;
exhaustless energy;exhaustless;energy;;;
exhilarating charm;exhilarating;charm;;;
exoteric scorn;exoteric;scorn;;"easily comprehensible; popular; outside";
exotic appearance;exotic;appearance;;;
expansive benevolence;expansive;benevolence;;;
expectant throng;expectant;throng;;;
expeditionary force;expeditionary;force;;;
expeditiously secreted;expeditiously;secreted;;;
experimental suggestion;experimental;suggestion;;;
expiatory sacrifices;expiatory;sacrifices;;;
explicit injunction;explicit;injunction;;;
explosive violence;explosive;violence;;;
expressionless visage;expressionless;visage;;;
expressive lineaments;expressive;lineaments;;;distinctive shape, especially of the face
exquisite tact;exquisite;tact;;;
extemporaneous effusion;extemporaneous;effusion;;;
extended magnitude;extended;magnitude;;;
extenuating circumstance;extenuating;circumstance;;;
external cheerfulness;external;cheerfulness;;;
extraneous ideas;extraneous;ideas;;;
extraordinary vivacity;extraordinary;vivacity;;;
extravagant caprice;extravagant;caprice;;;
extremely picturesque;extremely;picturesque;;;
exuberant mirth;exuberant;mirth;;;
exultant condition;exultant;condition;;;
facetious mood;facetious;mood;;;
facile criticism;facile;criticism;;;
factitious propensity;factitious;propensity;;;
faded magnificence;faded;magnificence;;;
faintly sinister;faintly;sinister;;;
faithfully perpetuated;faithfully;perpetuated;;;
fallacious hopes;fallacious;hopes;;;
false illusions;false;illusions;;;
faltering tongue;faltering;tongue;;;
familiar sacredness;familiar;sacredness;;;
famished voracity;famished;voracity;;;
fanatical admiration;fanatical;admiration;;;
fanciful alliance;fanciful;alliance;;;
fantastic display;fantastic;display;;;
farcical expedient;farcical;expedient;;;
far-reaching influence;far-reaching;influence;;;
fascinating illusiveness;fascinating;illusiveness;;;
fashioned symmetrically;fashioned;symmetrically;;;
fastidious taste;fastidious;taste;;;
fatal disclosure;fatal;disclosure;;;
fatalistic belief;fatalistic;belief;;;
fathomless powers;fathomless;powers;;;
fatiguing assertion;fatiguing;assertion;;;
fattening servitude;fattening;servitude;;;
fatuous pedantry;fatuous;pedantry;;;attention to detail or rules
faultless taste;faultless;taste;;;
favorable augury;favorable;augury;;;
fawning flatteries;fawning;flatteries;;;
fearful imprecations;fearful;imprecations;;;
fearless integrity;fearless;integrity;;;
feasible mode;feasible;mode;;;
feeble dribble;feeble;dribble;;;
feigned reluctance;feigned;reluctance;;;
felicitous expression;felicitous;expression;;;
feminine capriciousness;feminine;capriciousness;;;
ferocious foe;ferocious;foe;;;
fertile fancy;fertile;fancy;;;
fervent invocation;fervent;invocation;;;
fervid enthusiasm;fervid;enthusiasm;;;
festive illuminations;festive;illuminations;;;
fetid dampness;fetid;dampness;;;
fettered tyranny;fettered;tyranny;;;
feverish bewilderment;feverish;bewilderment;;;
fickle fancy;fickle;fancy;;;
fictitious pretext;fictitious;pretext;;;
fidgety impatience;fidgety;impatience;;;
fierce resentment;fierce;resentment;;;
fiery indignation;fiery;indignation;;;
figurative eloquence;figurative;eloquence;;;
filial tenderness;filial;tenderness;;;
final enthronement;final;enthronement;;;
fine sensibilities;fine;sensibilities;;;
finished artistry;finished;artistry;;;
fireside delights;fireside;delights;;;
fitful desire;fitful;desire;;;
fitting opportunity;fitting;opportunity;;;
fizzing flame;fizzing;flame;;;
flaccid faith;flaccid;faith;;;
flagging popularity;flagging;popularity;;;
flagitious attack;flagitious;attack;;"extremely brutal or cruel crimes; vicious; infamous";
flagrant boasting;flagrant;boasting;;;
flamboyant brilliancy;flamboyant;brilliancy;;;
flaming zeal;flaming;zeal;;;
flashing wit;flashing;wit;;;
flat denial;flat;denial;;;
flattering aspect;flattering;aspect;;;
flaunting insolence;flaunting;insolence;;;
flawless constitution;flawless;constitution;;;
fleecy clouds;fleecy;clouds;;;
fleeting intimation;fleeting;intimation;;;
flickering conscience;flickering;conscience;;;
flighty obstinacy;flighty;obstinacy;;;
flimsy organization;flimsy;organization;;;
flippant ease;flippant;ease;;;
floating blackness;floating;blackness;;;
florid oratory;florid;oratory;;"ornate; flowery";
flowery circumlocution;flowery;circumlocution;;;
flowing imagery;flowing;imagery;;;
fluctuating light;fluctuating;light;;;
fluent sophist;fluent;sophist;;;
fluffy indignation;fluffy;indignation;;;
fluid ideas;fluid;ideas;;;
flushed embarrassment;flushed;embarrassment;;;
fluttering laugh;fluttering;laugh;;;
focused attention;focused;attention;;;
foggy notion;foggy;notion;;;
fond enthusiast;fond;enthusiast;;;
foolish frenzy;foolish;frenzy;;;
forbearing silence;forbearing;silence;;;
forbidding air;forbidding;air;;;
forceful audacity;forceful;audacity;;;
foregone conclusion;foregone;conclusion;;;
foremost opponent;foremost;opponent;;;
forensic orator;forensic;orator;;;
forest stillness;forest;stillness;;;
forgotten graveyard;forgotten;graveyard;;;
forlorn desolation;forlorn;desolation;;;
formal acquiescence;formal;acquiescence;;;
formidable barrier;formidable;barrier;;;
formless jottings;formless;jottings;;;
formulated conclusions;formulated;conclusions;;;
fortified selfishness;fortified;selfishness;;;
fortuitous circumstance;fortuitous;circumstance;;;
foul calumny;foul;calumny;;;maliciously lying to injure a reputation
fragile form;fragile;form;;;
fragmentary facts;fragmentary;facts;;;
fragrant reminiscence;fragrant;reminiscence;;;
frail craft;frail;craft;;;
frank admiration;frank;admiration;;;
frantic ardor;frantic;ardor;;;
fraternal pity;fraternal;pity;;;
freakish humor;freakish;humor;;;
freeborn soul;freeborn;soul;;;
freezing disdain;freezing;disdain;;;
frenzied haste;frenzied;haste;;;
frequent digression;frequent;digression;;;
fresh impetus;fresh;impetus;;;
freshening breeze;freshening;breeze;;;
fretful discontent;fretful;discontent;;;
friendly familiarity;friendly;familiarity;;;
frightened sense;frightened;sense;;;
frightful apparition;frightful;apparition;;;
frigid disdain;frigid;disdain;;;
frisky lightness;frisky;lightness;;;
frivolous expedient;frivolous;expedient;;;
frolicsome extravagance;frolicsome;extravagance;;;
frozen wonder;frozen;wonder;;;
fructifying thought;fructifying;thought;;make fruitful or productive;
fruitful indignation;fruitful;indignation;;;
fruitless repining;fruitless;repining;;;
fugitive thoughts;fugitive;thoughts;;;
full plenitude;full;plenitude;;;
fulsome praise;fulsome;praise;;;
fumbling endeavor;fumbling;endeavor;;;
functional disparity;functional;disparity;;;
fundamental principles;fundamental;principles;;;
funereal gloom;funereal;gloom;;;
furious invective;furious;invective;;;abusive language
furrowed cheeks;furrowed;cheeks;;;
furtive glance;furtive;glance;;;
fussy enthusiasms;fussy;enthusiasms;;;
futile babble;futile;babble;;;
gabbling reminiscences;gabbling;reminiscences;;"speak rapidly or incoherently; jabber";
galling thought;galling;thought;;;
galvanic jumpings;galvanic;jumpings;;;
gaping chasm;gaping;chasm;;;
garbled information;garbled;information;;;
garish decorations;garish;decorations;;;
garnered experience;garnered;experience;;;
gathering gloom;gathering;gloom;;;
gaudy embellishments;gaudy;embellishments;;;
gaunt specter;gaunt;specter;;;
gay defiance;gay;defiance;;;
general acclamation;general;acclamation;;;
generative influence;generative;influence;;;
generic characteristics;generic;characteristics;;;
generous abundance;generous;abundance;;;
genial tolerance;genial;tolerance;;;
genteel parlance;genteel;parlance;;;
gentle blandishments;gentle;blandishments;;;coax by flattery
gentlemanly personage;gentlemanly;personage;;;
genuine cynicism;genuine;cynicism;;;
geological enigma;geological;enigma;;;
geometrical progression;geometrical;progression;;;
germinal idea;germinal;idea;;;
ghastly loneliness;ghastly;loneliness;;;
ghostly apparitions;ghostly;apparitions;;;
giant height;giant;height;;;
giddy pleasure;giddy;pleasure;;;
gifted intelligence;gifted;intelligence;;;
gigantic sagacity;gigantic;sagacity;;;"discerning, sound in judgment; wisdom."
girlish sprightliness;girlish;sprightliness;;;
gladdening influence;gladdening;influence;;;
gladiatorial exercise;gladiatorial;exercise;;;
gladsome glow;gladsome;glow;;;
glaring impropriety;glaring;impropriety;;;
glassy smoothness;glassy;smoothness;;;
gleaming escutcheon;gleaming;escutcheon;;;shield-shaped emblem bearing a coat of arms
gleeful spirit;gleeful;spirit;;;
glibly condoned;glibly;condoned;;;
gliding measures;gliding;measures;;;
glimmering idea;glimmering;idea;;;
glistening dewdrop;glistening;dewdrop;;;
glittering epigram;glittering;epigram;;;
gloomy musing;gloomy;musing;;;
glorious freedom;glorious;freedom;;;
glossed faults;glossed;faults;;;
glowering countenance;glowering;countenance;;;
glowing anticipations;glowing;anticipations;;;
gnawing thoughts;gnawing;thoughts;;;
godlike independence;godlike;independence;;;
golden opportunity;golden;opportunity;;;
good-humored gibes;good-humored;gibes;;;
gorgeous splendor;gorgeous;splendor;;;
gossiping opinion;gossiping;opinion;;;
governing impulse;governing;impulse;;;
graceful demeanor;graceful;demeanor;;;
gracious immunity;gracious;immunity;;;
graduated sequence;graduated;sequence;;;
grandiose nomenclature;grandiose;nomenclature;;;
graphic portrayal;graphic;portrayal;;;
grasping credulity;grasping;credulity;;;
gratuitous rudeness;gratuitous;rudeness;;;
grave reticence;grave;reticence;;;
greedy grasp;greedy;grasp;;;
gregarious humanity;gregarious;humanity;;;
grievously mistaken;grievously;mistaken;;;
grim swiftness;grim;swiftness;;;
grinding despotism;grinding;despotism;;;
grinning ghosts;grinning;ghosts;;;
griping fascination;griping;fascination;;;
grizzled warrior;grizzled;warrior;;;
gross exaggeration;gross;exaggeration;;;
grotesque perversion;grotesque;perversion;;;
groundless fear;groundless;fear;;;
groveling servility;groveling;servility;;;
growing tension;growing;tension;;;
grudging thanks;grudging;thanks;;;
grumbling monotone;grumbling;monotone;;;
guileless zeal;guileless;zeal;;;
gullible humanity;gullible;humanity;;;
gurgling brooks;gurgling;brooks;;;
gushing enthusiasm;gushing;enthusiasm;;;
gusty clamor;gusty;clamor;;;
guttural incoherence;guttural;incoherence;;;
gymnastic agility;gymnastic;agility;;;
habitual deference;habitual;deference;;;
hackneyed statement;hackneyed;statement;;;
hairbreadth difference;hairbreadth;difference;;;
halcyon innocence;halcyon;innocence;;"tranquil; prosperous; golden";
hallowed stillness;hallowed;stillness;;;
halting praise;halting;praise;;;
hampered power;hampered;power;;;
handsomely recompensed;handsomely;recompensed;;;
haphazard ostentation;haphazard;ostentation;;;
happy intuition;happy;intuition;;;
harassing anxiety;harassing;anxiety;;;
hardened indifference;hardened;indifference;;;
harmless mirth;harmless;mirth;;;
harmonious grace;harmonious;grace;;;
harrowing details;harrowing;details;;;
harsh jarrings;harsh;jarrings;;;
hasty generalization;hasty;generalization;;;
hateful malignity;hateful;malignity;;;
haughty composure;haughty;composure;;;
haunting despair;haunting;despair;;;
hazardous enterprise;hazardous;enterprise;;;
hazy recollection;hazy;recollection;;;
headlong vehemence;headlong;vehemence;;;
healthful vitality;healthful;vitality;;;
heartfelt amity;heartfelt;amity;;;
heartless perfidy;heartless;perfidy;;;"breach of faith; treachery"
heartrending outcry;heartrending;outcry;;;
hearty contempt;hearty;contempt;;;
heated discussion;heated;discussion;;;
heathen hordes;heathen;hordes;;;
heavenly ecstasies;heavenly;ecstasies;;;
heavy handicap;heavy;handicap;;;
hectic tittering;hectic;tittering;;;
hectoring rant;hectoring;rant;;;
heedless love;heedless;love;;;
heightened charm;heightened;charm;;;
heinous enormity;heinous;enormity;;;
helpless innocence;helpless;innocence;;;
herculean monster;herculean;monster;;;
hereditary arrogance;hereditary;arrogance;;;
heretical opinions;heretical;opinions;;;
hermetically sealed;hermetically;sealed;;;
heroic fortitude;heroic;fortitude;;;
hesitating courage;hesitating;courage;;;
heterogeneous mass;heterogeneous;mass;;;
hidden pitfalls;hidden;pitfalls;;;
hideous phantom;hideous;phantom;;;
high-flying theories;high-flying;theories;;;
highly meritorious;highly;meritorious;;;
hilarious outburst;hilarious;outburst;;;
hillside mist;hillside;mist;;;
hissing murmur;hissing;murmur;;;
historic edifice;historic;edifice;;;
hoarded vengeance;hoarded;vengeance;;;
hoary antiquity;hoary;antiquity;;;
hollow joys;hollow;joys;;;
homebred virtues;homebred;virtues;;;
homeless wind;homeless;wind;;;
homely pathos;homely;pathos;;;
homespun play;homespun;play;;;
homicidal mania;homicidal;mania;;;
homogeneous whole;homogeneous;whole;;;
honest admiration;honest;admiration;;;
honeyed eloquence;honeyed;eloquence;;;
hooligan wind;hooligan;wind;;;
hopelessly befogged;hopelessly;befogged;;;
horrible swiftness;horrible;swiftness;;;
horrid significance;horrid;significance;;;
hortatory moonshine;hortatory;moonshine;;;
hospitable courtesy;hospitable;courtesy;;;
hostile partizan;hostile;partizan;;;
hot frenzy;hot;frenzy;;;
hovering presence;hovering;presence;;;
howling chaos;howling;chaos;;;
huddled faculties;huddled;faculties;;;
huge aspiration;huge;aspiration;;;
human derelict;human;derelict;;;
humanitarian impulse;humanitarian;impulse;;;
humbly propitiating;humbly;propitiating;;;appeasing
humdrum inconsistencies;humdrum;inconsistencies;;;
humid luster;humid;luster;;;
humiliating discomfiture;humiliating;discomfiture;;;
humorless variety;humorless;variety;;;
humorous urbanity;humorous;urbanity;;;
hungry satisfaction;hungry;satisfaction;;;
hurrying years;hurrying;years;;;
hurtful indulgence;hurtful;indulgence;;;
hushed laughter;hushed;laughter;;;
husky shrillness;husky;shrillness;;;
hybrid emotions;hybrid;emotions;;;
hypnotic fascination;hypnotic;fascination;;;
hypochondriacal terrors;hypochondriacal;terrors;;;
hypocritical pretense;hypocritical;pretense;;;
hysterical agitation;hysterical;agitation;;;
iconoclastic attitude;iconoclastic;attitude;;;
icy smile;icy;smile;;;
idealistic type;idealistic;type;;;
identical mode;identical;mode;;;
idiomatic propriety;idiomatic;propriety;;;
idiotic obstinacy;idiotic;obstinacy;;;
idle jesting;idle;jesting;;;
idolatrous fervor;idolatrous;fervor;;;
idyllic nonsense;idyllic;nonsense;;;
ignoble domination;ignoble;domination;;;
ignominious retreat;ignominious;retreat;;;
ill-concealed impatience;ill-concealed;impatience;;;
illiberal superstition;illiberal;superstition;;;
illimitable progression;illimitable;progression;;;
illiterate denizens;illiterate;denizens;;;
illogical interruption;illogical;interruption;;;
illuminating insight;illuminating;insight;;;
illusive touch;illusive;touch;;;
illustrative anecdote;illustrative;anecdote;;;
illustrious era;illustrious;era;;;
imaginative warmth;imaginative;warmth;;;
imbittered controversy;imbittered;controversy;;;
immaterial connection;immaterial;connection;;;
immature dissent;immature;dissent;;;
immeasurable scorn;immeasurable;scorn;;;
immediate abjuration;immediate;abjuration;;;renounce under oath
immemorial bulwark;immemorial;bulwark;;;
immense complacency;immense;complacency;;;
imminent perplexities;imminent;perplexities;;;
immitigable contempt;immitigable;contempt;;;
immoderate grief;immoderate;grief;;;
immortal creation;immortal;creation;;;
immovably silent;immovably;silent;;;
immutable law;immutable;law;;;
impaired prestige;impaired;prestige;;;
impalpable nothingness;impalpable;nothingness;;;
impartial justice;impartial;justice;;;
impassable serenity;impassable;serenity;;;
impassioned impulse;impassioned;impulse;;;
impatient yearning;impatient;yearning;;;
impeccable felicity;impeccable;felicity;;;
impecunious exile;impecunious;exile;;;
impelling movement;impelling;movement;;;
impending fate;impending;fate;;;
impenetrable calmness;impenetrable;calmness;;;
imperative necessity;imperative;necessity;;;
imperceptible deviation;imperceptible;deviation;;;
imperfect equipment;imperfect;equipment;;;
imperial authority;imperial;authority;;;
imperious mind;imperious;mind;;arrogantly domineering or overbearing;
imperishable renown;imperishable;renown;;;
impersonal compliment;impersonal;compliment;;;
impertinent drollery;impertinent;drollery;;;
imperturbable gravity;imperturbable;gravity;;;
impetuous zeal;impetuous;zeal;;;
impious defiance;impious;defiance;;;
impish humor;impish;humor;;;
implacable resentment;implacable;resentment;;;
implicit faith;implicit;faith;;;
implied concealment;implied;concealment;;;
implored pardon;implored;pardon;;;
imponderable air;imponderable;air;;;
important epoch;important;epoch;;;
importunate questions;importunate;questions;;insistent request;
imposing mien;imposing;mien;;;"manner revealing a state of mind; appearance or aspect"
impossible contingency;impossible;contingency;;;
impotent desperation;impotent;desperation;;;
impoverished age;impoverished;age;;;
impracticable obstinacy;impracticable;obstinacy;;;
impregnable fortress;impregnable;fortress;;;
impressionistic stroke;impressionistic;stroke;;;
imprisoning limitations;imprisoning;limitations;;;
improbable conjecture;improbable;conjecture;;;
impromptu utterance;impromptu;utterance;;;
improvising powers;improvising;powers;;;
imprudent indebtedness;imprudent;indebtedness;;;
impudent knowingness;impudent;knowingness;;;
impulsive gratitude;impulsive;gratitude;;;
inaccessible dignity;inaccessible;dignity;;;
inadequate appreciation;inadequate;appreciation;;;
inadmissible expression;inadmissible;expression;;;
inadvertent remark;inadvertent;remark;;;
inalienable right;inalienable;right;;;
inanimate existence;inanimate;existence;;;
inapposite blandness;inapposite;blandness;;inappropriate or misapplied nature;
inaptly designated;inaptly;designated;;;
inarticulate lispings;inarticulate;lispings;;;
inaugural discourse;inaugural;discourse;;;
inborn refinement;inborn;refinement;;;
inbred taste;inbred;taste;;;
incalculable mischief;incalculable;mischief;;;
incarnate hate;incarnate;hate;;;
incendiary opinions;incendiary;opinions;;;
incessant volume;incessant;volume;;;
incidental duty;incidental;duty;;;
incipient fancy;incipient;fancy;;;
incisive critic;incisive;critic;;;
incoherent loquacity;incoherent;loquacity;;;very talkative
incommunicable gift;incommunicable;gift;;;
incomparable excellence;incomparable;excellence;;;
incompletely apprehended;incompletely;apprehended;;;
inconceivable absurdity;inconceivable;absurdity;;;
incongruous contrast;incongruous;contrast;;;
inconsiderable trifle;inconsiderable;trifle;;;
inconsistent conduct;inconsistent;conduct;;;
inconsolable cares;inconsolable;cares;;;
incontestable inference;incontestable;inference;;;
incontrovertible proof;incontrovertible;proof;;;
incorrigible merriment;incorrigible;merriment;;;
incorruptible constancy;incorruptible;constancy;;;
increasing clamor;increasing;clamor;;;
incredible swiftness;incredible;swiftness;;;
indecent saturnalia;indecent;saturnalia;;;"unrestrained revelry; an orgy"
indecorously amused;indecorously;amused;;;
indefatigable diligence;indefatigable;diligence;;tireless;
indefeasible title;indefeasible;title;;cannot be annulled;
indefinable reluctance;indefinable;reluctance;;;
indefinite yearning;indefinite;yearning;;;
indelible obligation;indelible;obligation;;;
indelicate impetuosity;indelicate;impetuosity;;;
indented outline;indented;outline;;;
independent research;independent;research;;;
indescribably lugubriou;indescribably;lugubriou;;;exaggerated gloom
indestructible atoms;indestructible;atoms;;;
indeterminable value;indeterminable;value;;;
indifferent promise;indifferent;promise;;;
indigenous growth;indigenous;growth;;;
indignant denunciation;indignant;denunciation;;;
indirect interrogation;indirect;interrogation;;;
indiscriminate censure;indiscriminate;censure;;;
indispensable requisites;indispensable;requisites;;;
indisputable chronicler;indisputable;chronicler;;;
indissoluble compact;indissoluble;compact;;;
indistinct association;indistinct;association;;;
individual valor;individual;valor;;;
indivisible aspects;indivisible;aspects;;;
indolent neglect;indolent;neglect;;;
indomitable pride;indomitable;pride;;;
indubitable signs;indubitable;signs;;;
indulgent construction;indulgent;construction;;;
indwelling delight;indwelling;delight;;;
ineffable disdain;ineffable;disdain;;;
ineffaceable incongruity;ineffaceable;incongruity;;indelible;
ineffectual blandishment;ineffectual;blandishment;;;
ineradicable coquetry;ineradicable;coquetry;;;
inestimable honor;inestimable;honor;;;
inevitable corollary;inevitable;corollary;;;
inexcusable laughter;inexcusable;laughter;;;
inexhaustible abundance;inexhaustible;abundance;;;
inexorable authority;inexorable;authority;;incapable of being persuaded;
inexplicable reluctance;inexplicable;reluctance;;;
inexpressible benignity;inexpressible;benignity;;;
inextricable confusion;inextricable;confusion;;;
infallible judgment;infallible;judgment;;;
infamous pretense;infamous;pretense;;;
infantile simplicity;infantile;simplicity;;;
infectious hilarity;infectious;hilarity;;;
infelicitous arrangement;infelicitous;arrangement;;;
inferential method;inferential;method;;;
infernal machinations;infernal;machinations;;;
infinite deference;infinite;deference;;;
infinitesimal gradations;infinitesimal;gradations;;;
infirm purpose;infirm;purpose;;;
inflamed curiosity;inflamed;curiosity;;;
inflated optimism;inflated;optimism;;;
inflexible integrity;inflexible;integrity;;;
influential voice;influential;voice;;;
informing feature;informing;feature;;;
infuriated demagogues;infuriated;demagogues;;;
ingenious trick;ingenious;trick;;;
inglorious victory;inglorious;victory;;;
ingrained love;ingrained;love;;;
ingratiating exterior;ingratiating;exterior;;;
inharmonious prelude;inharmonious;prelude;;;
inherent dignity;inherent;dignity;;;
inherited anxieties;inherited;anxieties;;;
inimitable felicity;inimitable;felicity;;;
iniquitous fortune;iniquitous;fortune;;;
initiatory period;initiatory;period;;;
injudicious yielding;injudicious;yielding;;;
injured conceit;injured;conceit;;;
inky blackness;inky;blackness;;;
inmost recesses;inmost;recesses;;;
innate forbearance;innate;forbearance;;;
inner restlessness;inner;restlessness;;;
innocent amenities;innocent;amenities;;;
innocuous desuetude;innocuous;desuetude;;;state of disuse or inactivity
innovating spirit;innovating;spirit;;;
inoffensive copiousness;inoffensive;copiousness;;;
inopportune condition;inopportune;condition;;;
inordinate ambition;inordinate;ambition;;;
inquisitional rack;inquisitional;rack;;;
inquisitive observer;inquisitive;observer;;;
insatiable vanity;insatiable;vanity;;;
inscrutable austerity;inscrutable;austerity;;;
insecure truce;insecure;truce;;;
insensate barbarism;insensate;barbarism;;;
insensibly flattered;insensibly;flattered;;;
inseparably associated;inseparably;associated;;;
insidious tendency;insidious;tendency;;;
